Daily,Steps,calories,distance,recordkey
2024-11-14,2234.55,0,1.787639,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-14,2079.0,0,1.6632,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-11-15,9589,345.36,7.24323,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-15,7243,289.21,5.41949,7836887b-b12a-440f-af0f-851546504b13
2024-11-15,6678.91,0,5.343131,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-15,7902.0,0,6.3216,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-11-16,5075,199.24,4.26379,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-16,10717,425.53,8.02048,7836887b-b12a-440f-af0f-851546504b13
2024-11-16,5496.56,0,4.397251,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-16,9144.0,0,7.3152,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-11-17,5179,183.69,3.98311,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-17,7390,288.49,5.60801,7836887b-b12a-440f-af0f-851546504b13
2024-11-17,4713.0,0,3.7704,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-17,2292.0,0,1.8336,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-11-18,13291,453.15,10.29972,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-18,7928,316.7,6.03405,7836887b-b12a-440f-af0f-851546504b13
2024-11-18,10236.5,0,8.189198,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-18,13694.0,0,10.9552,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-11-19,8203,305.68,6.32778,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-19,5857,232.45,4.483939,7836887b-b12a-440f-af0f-851546504b13
2024-11-19,7796.35,0,6.237082,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-19,12225.0,0,9.78,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-11-20,10055,341.26,7.71734,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-20,7762,310.83,5.84158,7836887b-b12a-440f-af0f-851546504b13
2024-11-20,6164.0,0,4.9312,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-20,5379.0,0,4.3032,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-11-21,9114,327.44,6.93269,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-21,5952,236.68,4.46327,7836887b-b12a-440f-af0f-851546504b13
2024-11-21,7730.0,0,6.184,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-21,9494.0,0,7.5952,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-11-22,8496,291.92,6.540981,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-22,9692,385.84,7.393229,7836887b-b12a-440f-af0f-851546504b13
2024-11-22,9901.0,0,7.9208,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-22,6522.0,0,5.2176,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-11-23,5117,194.74,3.97768,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-23,7619,303.11,5.753029,7836887b-b12a-440f-af0f-851546504b13
2024-11-23,8622.52,0,6.898016,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-23,8243.0,0,6.5944,e27ba7ef-8bb2-424c-af1d-877e826b7487
2024-11-24,9089,329.34,6.96978,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-24,6285,249.51,4.82459,7836887b-b12a-440f-af0f-851546504b13
2024-11-24,4484.57,0,3.587659,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-24,2353.0,0,1.8824,e27ba7ef-8bb2-424c-af1d-877e826b7487
